### data for cmdb ####
2019-01-27;oki-deb-vmparc3;db_taille;xavki1;16.64
2019-01-27;oki-deb-vmparc3;db_taille;xavki2;15.84
2019-01-27;oki-deb-vmparc3;db_taille;xavki3;17.75
2019-01-27;oki-deb-vmparc3;db_tables;xavki1;10
2019-01-27;oki-deb-vmparc3;db_tables;xavki2;10
2019-01-27;oki-deb-vmparc3;db_tables;xavki3;10
2019-01-27;oki-deb-vmparc3;db_lines;xavki1;table1;34
2019-01-27;oki-deb-vmparc3;db_lines;xavki1;table10;366
2019-01-27;oki-deb-vmparc3;db_lines;xavki1;table2;63
2019-01-27;oki-deb-vmparc3;db_lines;xavki1;table3;316
2019-01-27;oki-deb-vmparc3;db_lines;xavki1;table4;240
2019-01-27;oki-deb-vmparc3;db_lines;xavki1;table5;189
2019-01-27;oki-deb-vmparc3;db_lines;xavki1;table6;133
2019-01-27;oki-deb-vmparc3;db_lines;xavki1;table7;306
2019-01-27;oki-deb-vmparc3;db_lines;xavki1;table8;208
2019-01-27;oki-deb-vmparc3;db_lines;xavki1;table9;301
2019-01-27;oki-deb-vmparc3;db_lines;xavki2;table1;113
2019-01-27;oki-deb-vmparc3;db_lines;xavki2;table10;113
2019-01-27;oki-deb-vmparc3;db_lines;xavki2;table2;116
2019-01-27;oki-deb-vmparc3;db_lines;xavki2;table3;223
2019-01-27;oki-deb-vmparc3;db_lines;xavki2;table4;267
2019-01-27;oki-deb-vmparc3;db_lines;xavki2;table5;89
2019-01-27;oki-deb-vmparc3;db_lines;xavki2;table6;303
2019-01-27;oki-deb-vmparc3;db_lines;xavki2;table7;50
2019-01-27;oki-deb-vmparc3;db_lines;xavki2;table8;345
2019-01-27;oki-deb-vmparc3;db_lines;xavki2;table9;301
2019-01-27;oki-deb-vmparc3;db_lines;xavki3;table1;216
2019-01-27;oki-deb-vmparc3;db_lines;xavki3;table10;261
2019-01-27;oki-deb-vmparc3;db_lines;xavki3;table2;366
2019-01-27;oki-deb-vmparc3;db_lines;xavki3;table3;139
2019-01-27;oki-deb-vmparc3;db_lines;xavki3;table4;21
2019-01-27;oki-deb-vmparc3;db_lines;xavki3;table5;252
2019-01-27;oki-deb-vmparc3;db_lines;xavki3;table6;312
2019-01-27;oki-deb-vmparc3;db_lines;xavki3;table7;312
2019-01-27;oki-deb-vmparc3;db_lines;xavki3;table8;121
2019-01-27;oki-deb-vmparc3;db_lines;xavki3;table9;307
2019-01-27;oki-deb-vmparc3;db_vol_physique;xavki1;77M;/var/lib/mysql/xavki1
2019-01-27;oki-deb-vmparc3;db_vol_physique;xavki2;76M;/var/lib/mysql/xavki2
2019-01-27;oki-deb-vmparc3;db_vol_physique;xavki3;86M;/var/lib/mysql/xavki3
2019-01-27;oki-deb-vmparc3;system;151.519;Debian GNU/Linux 9.5 (stretch);3.3
