### data for cmdb ####
2019-01-31-18-14;oki-deb-vmparc2;db_taille;xavki1;12.05
2019-01-31-18-14;oki-deb-vmparc2;db_taille;xavki2;10.64
2019-01-31-18-14;oki-deb-vmparc2;db_taille;xavki3;12.05
2019-01-31-18-14;oki-deb-vmparc2;db_tables;xavki1;10
2019-01-31-18-14;oki-deb-vmparc2;db_tables;xavki2;10
2019-01-31-18-14;oki-deb-vmparc2;db_tables;xavki3;10
2019-01-31-18-14;oki-deb-vmparc2;db_lines;xavki1;table1;240
2019-01-31-18-14;oki-deb-vmparc2;db_lines;xavki1;table10;4
2019-01-31-18-14;oki-deb-vmparc2;db_lines;xavki1;table2;107
2019-01-31-18-14;oki-deb-vmparc2;db_lines;xavki1;table3;174
2019-01-31-18-14;oki-deb-vmparc2;db_lines;xavki1;table4;255
2019-01-31-18-14;oki-deb-vmparc2;db_lines;xavki1;table5;26
2019-01-31-18-14;oki-deb-vmparc2;db_lines;xavki1;table6;357
2019-01-31-18-14;oki-deb-vmparc2;db_lines;xavki1;table7;243
2019-01-31-18-14;oki-deb-vmparc2;db_lines;xavki1;table8;270
2019-01-31-18-14;oki-deb-vmparc2;db_lines;xavki1;table9;68
2019-01-31-18-14;oki-deb-vmparc2;db_lines;xavki2;table1;267
2019-01-31-18-14;oki-deb-vmparc2;db_lines;xavki2;table10;292
2019-01-31-18-14;oki-deb-vmparc2;db_lines;xavki2;table2;309
2019-01-31-18-14;oki-deb-vmparc2;db_lines;xavki2;table3;66
2019-01-31-18-14;oki-deb-vmparc2;db_lines;xavki2;table4;229
2019-01-31-18-14;oki-deb-vmparc2;db_lines;xavki2;table5;19
2019-01-31-18-14;oki-deb-vmparc2;db_lines;xavki2;table6;39
2019-01-31-18-14;oki-deb-vmparc2;db_lines;xavki2;table7;62
2019-01-31-18-14;oki-deb-vmparc2;db_lines;xavki2;table8;26
2019-01-31-18-14;oki-deb-vmparc2;db_lines;xavki2;table9;130
2019-01-31-18-14;oki-deb-vmparc2;db_lines;xavki3;table1;207
2019-01-31-18-14;oki-deb-vmparc2;db_lines;xavki3;table10;87
2019-01-31-18-14;oki-deb-vmparc2;db_lines;xavki3;table2;142
2019-01-31-18-14;oki-deb-vmparc2;db_lines;xavki3;table3;63
2019-01-31-18-14;oki-deb-vmparc2;db_lines;xavki3;table4;17
2019-01-31-18-14;oki-deb-vmparc2;db_lines;xavki3;table5;315
2019-01-31-18-14;oki-deb-vmparc2;db_lines;xavki3;table6;200
2019-01-31-18-14;oki-deb-vmparc2;db_lines;xavki3;table7;304
2019-01-31-18-14;oki-deb-vmparc2;db_lines;xavki3;table8;4
2019-01-31-18-14;oki-deb-vmparc2;db_lines;xavki3;table9;185
2019-01-31-18-14;oki-deb-vmparc2;db_vol_physique;xavki1;65M;/var/lib/mysql/xavki1
2019-01-31-18-14;oki-deb-vmparc2;db_vol_physique;xavki2;49M;/var/lib/mysql/xavki2
2019-01-31-18-14;oki-deb-vmparc2;db_vol_physique;xavki3;58M;/var/lib/mysql/xavki3
2019-01-31-18-14;oki-deb-vmparc2;system;514.368;Debian GNU/Linux 9.5 (stretch);15.2
